Area,Price,Type,Size
Horamavu,90.0 Lac,3 BHK 1625 Sq-ft Flat/Apartment for Sale in Horamavu,1500 sqft
Brookes haven layout,1.07 Cr,3 BHK Builder Floor,1900 sqft
JP Nagar,1.02 Cr,3 BHK Flat for sale in JP Nagar,1550 sqft
Yelahanka,96.0 Lac,3 BHK Flat for sale in Yelahanka,2400 sqft
Venkatadri Layout,35.0 Lac,2 BHK Builder Floor,550 sqft
Chokkanahalli,85.0 Lac,2 BHK 1217 Sq-ft Flat/Apartment for Sale in Chokkanahalli,1000 sqft
Gubbalala,74.0 Lac,2 BHK 1285 Sq-ft Flat/Apartment for Sale in Gubbalala,1085 sqft
Kadugodi,78.5 Lac,3 BHK 1695 Sq-ft Flat/Apartment for Sale in Kadugodi,1525 sqft
Vinayaka Nagar-JP nagar Phase 5,52.0 Lac,2 BHK 1200 Sq-ft Flat/Apartment for Sale in Vinayaka Nagar-JP nagar Phase 5,1050 sqft
Begur Road,55.0 Lac,2 BHK Flat for sale in Begur Road,800 sqft
Bank Avenue,1.95 Cr,6 BHK Residential House,2300 sqft
Sarjapur Road,95.0 Lac,3 BHK Flat for sale in Sarjapur Road,1700 sqft
Electronic City,59.0 Lac,2 BHK Flat for sale in Electronic City,1015 sqft
Hosa Road,58.0 Lac,3 BHK Flat for sale in Hosa Road,1281 sqft
Uttarahalli,56.0 Lac,2 BHK Flat for sale in Uttarahalli,1150 sqft
Binnypete,1.30 Cr,2 BHK Flat for sale in Binnypete,1298 sqft
Sarjapur Road,3.25 Cr,4 BHK Villa,3800 sqft
Sarjapur,70.0 Lac,3 BHK 1380 Sq-ft Flat/Apartment for Sale in Sarjapur,1380 sqft
K Channasandra,69.0 Lac,2 BHK Residential House,720 sqft
Kengeri,47.5 Lac,2 BHK 883 Sq-ft Flat,636 sqft
Attibele,33.2 Lac,3 BHK Flat for sale in Attibele,820 sqft
Kengeri,3.50 Cr,3 BHK Villa,5400 sqft
NelaMangala,90.0 Lac,Residential Plot,1560 sqft
Panduranga Nagar,41.0 Lac,1 BHK 600 Sq-ft Flat/Apartment for Sale in Panduranga Nagar,550 sqft
Jakkur,85.2 Lac,2 BHK Flat for sale in Jakkur,1290 sqft
JP Nagar,3.0 Cr,4 BHK Flat for sale in JP Nagar,3454 sqft
Sarjapur,1.15 Cr,3 BHK Villa,2010 sqft
Sidlaghatta,2.72 Cr,Residential Plot,21780 sqft
Saptagiri Layout,44.5 Lac,2 BHK 1050 Sq-ft Flat/Apartment for Sale in Saptagiri Layout,1050 sqft
Abbigere,72.0 Lac,Residential Plot,1600 sqft
Ganga Nagar,65.0 Lac,2 BHK Flat for sale in Ganga Nagar,1150 sqft
Varthur,70.0 Lac,2 BHK Flat for sale in Varthur,1200 sqft
Devanahalli,36.0 Lac,Residential Plot,2400 sqft
Devanahalli,1.80 Cr,Residential Plot,4000 sqft
Whitefield,21.0 Lac,Residential Plot,1500 sqft
Bannerghatta Road,85.4 Lac,3 BHK Flat for sale in Bannerghatta Main Road,1585 sqft
Bellandur,80.0 Lac,2 BHK Flat for sale in Bellandur,1000 sqft
Begur Road,58.0 Lac,2 BHK Flat for sale in Begur Road,1250 sqft
Sulibele,28.0 Lac,Residential Plot,1500 sqyrd
Unknown,60.0 Lac,3 BHK Flat,1200 sqft
Babusahib Palya,65.0 Lac,2 BHK Flat for sale in Babusahib Palya,1175 sqft
Banaswadi,95.0 Lac,3 BHK Flat for sale in Banaswadi,1300 sqft
Electronic City,34.7 Lac,2 BHK Flat for sale in Electronic City,800 sqft
Sarjapur-Attibele Road,32.5 Lac,2 BHK Flat for sale in Sarjapur-Attibele Road,915 sqft
Electronics City Phase 1,47.0 Lac,2 BHK 1224 Sq-ft Flat/Apartment for Sale in Electronics City Phase 1,1224 sqft
Hoodi Circle,1.29 Cr,3 BHK Flat for sale in Hoodi Circle,1460 sqft
Kothnoor Dinne,80.0 Lac,3 BHK 1497 Sq-ft Flat/Apartment for Sale in Kothnoor Dinne,1250 sqft
Kadugodi,1.08 Cr,3 BHK Flat for sale in Kadugodi,1875 sqft
Electronics City Phase 1,67.0 Lac,2 BHK Flat for sale in Electronics City Phase 1,1305 sqft
Banaswadi,84.0 Lac,3 BHK Flat for sale in Banaswadi,1200 sqft
Horamavu,1.20 Cr,3 BHK Flat for sale in Horamavu,1750 sqft
Bannerghatta Road,98.0 Lac,3 BHK Flat for sale in Bannerghatta Main Road,1400 sqft
Hongasandra,60.5 Lac,3 BHK 1475 Sq-ft Flat for Sale in Hongasandra,1033 sqft
Singasandra,1.05 Cr,3 BHK Flat for sale in Singasandra,1300 sqft
Varthur,65.0 Lac,3 BHK Flat for sale in Varthur,1615 sqft
Jigani,50.0 Lac,2 BHK Flat for sale in Jigani,940 sqft
Jalahalli West,46.0 Lac,1 BHK 610 Sq-ft Flat/Apartment for Sale in Jalahalli West,610 sqft
Electronics City Phase 1,49.5 Lac,2 BHK Flat for sale in Electronics City Phase 1,1070 sqft
B Narayanapura,75.0 Lac,3 BHK 1450 Sq-ft Flat/Apartment for Sale in B Narayanapura,1350 sqft
Tumkur Road,64.0 Lac,2 BHK Flat for sale in Tumkur Road,1163 sqft
Unknown,19.2 Lac,Residential Plot,1200 sqft
Hoskote,87.0 Lac,2 BHK Villa,544 sqft
Hoodi Cirle,1.04 Cr,3 BHK Flat for sale in Hoodi Cirle,1064 sqft
Hongasandra,52.3 Lac,2 BHK 1275 Sq-ft Flat,956 sqft
Frazer Town,1.95 Cr,4 BHK Flat for sale in Frazer Town,2300 sqft
Unknown,1.99 Cr,3 BHK Flat,1900 sqft
JP Nagar,1.70 Cr,4 BHK Flat for sale in JP Nagar,2545 sqft
Mallasandra Village,38.0 Lac,2 BHK 905 Sq-ft Flat/Apartment for Sale in Mallasandra Village,679 sqft
Electronic City Phase 2,60.0 Lac,3 BHK 1332 Sq-ft Flat/Apartment for Sale in Electronic City Phase 2,1000 sqft
Kanakapura Road,43.0 Lac,2 BHK 960 Sq-ft Flat/Apartment for Sale in Kanakapura Road,960 sqft
Vajarahalli,2.85 Cr,4 BHK 3241 Sq-ft Flat/Apartment for Sale in Vajarahalli,3050 sqft
Electronic City,46.0 Lac,2 BHK Flat for sale in Electronic City,700 sqft
Electronic City,50.0 Lac,3 BHK Flat for sale in Electronic City,900 sqft
Hulimavu,52.0 Lac,2 BHK 1120 Sq-ft Flat/Apartment for Sale in Hulimavu,930 sqft
Kempapura Main Road,65.0 Lac,2 BHK 1146 Sq-ft Flat/Apartment for Sale in Kempapura Main Road,1146 sqft
Whitefield,89.0 Lac,3 BHK Flat for sale in Whitefield,1267 sqft
Binnipete,1.52 Cr,3 BHK 1619 Sq-ft Flat/Apartment for Sale in Binnipete,1500 sqft
Thanisandra,85.5 Lac,3 BHK Flat for sale in Thanisandra,1050 sqft
Thanisandra,1.20 Cr,3 BHK Flat for sale in Thanisandra,1595 sqft
BTM Layout Stage 1,1.65 Cr,3 BHK 1770 Sq-ft Flat/Apartment for Sale in BTM Layout Stage 1,1600 sqft
Akshya Nagar,56.0 Lac,2 BHK 1164 Sq-ft Flat/Apartment for Sale in Akshayanagar,1000 sqft
Whitefield,72.0 Lac,2 BHK Flat for sale in Whitefield,1120 sqft
Unknown,7.59 Cr,4 BHK Flat,3600 sqft
Manyata Residency,84.0 Lac,2 BHK Flat for sale in Manyata Residency,1050 sqft
Old Madras Road,1.40 Cr,3 BHK Flat for sale in Old Madras Road,1400 sqft
Hennur Main Road,1.72 Cr,4 BHK Flat for sale in Hennur Main Road,2800 sqft
Devanahalli,52.0 Lac,3 BHK Flat for sale in Devanahalli,1100 sqft
Devanahalli,95.8 Lac,3 BHK Flat for sale in Devanahalli,1210 sqft
Attibele,26.0 Lac,2 BHK Flat for sale in Attibele,650 sqft
Hosa Road,55.0 Lac,Residential Plot,1350 sqft
Whitefield,80.0 Lac,3 BHK Flat for sale in Whitefield,1268 sqft
Panathur,72.0 Lac,2 BHK Flat for sale in Panathur,716 sqft
Kanakapura Road,53.5 Lac,2 BHK Flat for sale in Judicial Lay Out,1072 sqft
Unknown,2.40 Cr,3 BHK Flat,2850 sqft
Sector 7 HSR Layout ,7.80 Cr,2 BHK Residential House,4000 sqft
Kumaraswamy Layout,45.0 Lac,2 BHK Flat for sale in Kumaraswamy Layout,927 sqft
Hebbal,96.5 Lac,3 BHK Flat for sale in Hebbal,1300 sqft
Belakhalli,65.0 Lac,2 BHK Flat for sale in Belakhalli,1250 sqft
Ashok Nagar,3.0 Cr,4 BHK Flat for sale in Ashok Nagar,1650 sqft
Hebbal,1.90 Cr,3 BHK Flat for sale in Hebbal,2050 sqft
Hoskote,30.0 Lac,2 BHK Flat for sale in Hoskote,590 sqft
Kereguddadahalli,40.0 Lac,3 BHK 1400 Sq-ft Flat/Apartment for Sale in Kereguddadahalli,1200 sqft
Royal LakeFront Phase-3 North,60.0 Lac,2 BHK 1120 Sq-ft Flat/Apartment for Sale in Royal LakeFront Phase-3 North,850 sqft
Thanisandra,85.0 Lac,2 BHK Flat for sale in Thanisandra,1300 sqft
Whitefield,1.80 Cr,3 BHK Flat,2210 sqft
Chikka Tirupathi,89.0 Lac,3 BHK Builder Floor,2300 sqft
ITPL,56.0 Lac,2 BHK 1150 Sq-ft Flat/Apartment for Sale in ITPL,1150 sqft
Guttahalli,1.70 Cr,6 BHK Residential House,1800 sqft
Hebbal Kempapura,4.60 Cr,7 BHK Residential House,7000 sqft
Haralur Road,83.5 Lac,2 BHK Flat for sale in Haralur Road,900 sqft
Anekal Main Road,30.0 Lac,2 BHK Flat for sale in Anekal Main Road,732 sqft
Doddagubbi,55.0 Lac,Residential Plot,2400 sqft
Yemalur,94.0 Lac,2 BHK Flat for sale in Yemalur,980 sqft
Sonnappanahalli,55.6 Lac,Residential Plot,1425 sqft
Kanakapura Road,1.42 Cr,3 BHK Flat for sale in Kanakapura Road,1720 sqft
Yelahanka,60.0 Lac,2 BHK Flat for sale in Yelahanka,1104 sqft
Devanahalli,45.0 Lac,Residential Plot,2117 sqft
Basaveshvara Nagar,2.10 Cr,3 BHK Villa,3000 sqft
Talagatta Pura,67.0 Lac,3 BHK Flat for sale in Talagatta Pura,1419 sqft
Devanahalli,62.0 Lac,3 BHK Flat for sale in Devanahalli,853 sqft
Sadaramanagala,60.0 Lac,3 BHK Flat for sale in Sadaramanagala,1550 sqft
Thambuchetty Palya,1.85 Cr,6 BHK Residential House,3800 sqft
NRI Layout,66.5 Lac,3 BHK Flat for sale in NRI Layout,1495 sqft
Hulimavu,52.0 Lac,2 BHK 1300 Sq-ft Flat/Apartment for Sale in Hulimavu,1195 sqft
ECC Road,85.0 Lac,2 BHK 1170 Sq-ft Flat/Apartment for Sale in ECC Road,980 sqft
Whitefield,94.0 Lac,3 BHK Flat for sale in Whitefield,1495 sqft
Immadihalli,72.0 Lac,3 BHK 1507 Sq-ft Flat/Apartment for Sale in Immadihalli,1380 sqft
Hoodi Circle,80.0 Lac,3 BHK Flat for sale in Hoodi Circle,1565 sqft
Uttarahalli,52.0 Lac,2 BHK Builder Floor,1050 sqft
Seetharampalya,68.0 Lac,3 BHK 1350 Sq-ft Flat/Apartment for Sale in Seetharampalya,1050 sqft
Jigani,47.0 Lac,3 BHK Flat,1252 sqft
Hennur Bagalur Road,68.0 Lac,2 BHK 1170 Sq-ft Flat/Apartment for Sale in Hennur Bagalur Road,1000 sqft
Sarjapur Road,67.0 Lac,3 BHK Flat for sale in Sarjapur Road,1200 sqft
K R Puram,47.0 Lac,2 BHK 1130 Sq-ft Flat/Apartment for Sale in K R Puram,900 sqft
Yelahanka,57.7 Lac,2 BHK Builder Floor,1086 sqft
Nagasandra,50.0 Lac,2 BHK 1037 Sq-ft Flat/Apartment for Sale in Nagasandra,730 sqft
Horamavu,65.0 Lac,2 BHK Flat for sale in Horamavu,1000 sqft
Kundalahalli,1.25 Cr,3 BHK 1720 Sq-ft Flat/Apartment for Sale in Kundalahalli,1500 sqft
Chandapura,63.0 Lac,3 BHK Flat for sale in Chandapura,1814 sqft
Mysore Road,55.5 Lac,3 BHK Flat for sale in Mysore Road,1000 sqft
Hennur,82.0 Lac,3 BHK Flat for sale in Hennur,1520 sqft
Kaggadasapura,78.0 Lac,3 BHK Flat for sale in Kaggadasapura,1600 sqft
Electronic City,1.04 Cr,3 BHK Flat for sale in Electronic City,1400 sqft
maruthi Nagar-Yelahanka,52.0 Lac,2 BHK 1150 Sq-ft Flat/Apartment for Sale in maruthi Nagar-Yelahanka,1135 sqft
Marathahalli,4.88 Cr,Residential Plot,4880 sqft
Unknown,1.30 Cr,3 BHK Villa,1600 sqft
Sarjapur-Attibele Road,30.0 Lac,1 BHK Flat for sale in Sarjapur-Attibele Road,675 sqft
Kodichikkanahalli Main Road,45.0 Lac,2 BHK 960 Sq-ft Flat/Apartment for Sale in Kodichikkanahalli Main Road,750 sqft
Haralur Road,1.15 Cr,3 BHK 1431 Sq-ft Flat/Apartment for Sale in Haralur Road,1200 sqft
Jakkur,1.21 Cr,3 BHK Flat for sale in Jakkur,1500 sqft
Electronic City,98.5 Lac,3 BHK Flat for sale in Electronic City,1400 sqft
Begur Road,76.0 Lac,3 BHK Flat for sale in Begur Road,1400 sqft
ECC Road,78.0 Lac,2 BHK 1245 Sq-ft Flat/Apartment for Sale in ECC Road,1245 sqft
Agrahara Layout,2.0 Cr,8 BHK Residential House,1488 sqft
Bilekahalli,89.0 Lac,2 BHK Builder Floor,1100 sqft
Begur Road,1.10 Cr,3 BHK Flat for sale in Begur Road,1830 sqft
Electronic City Phase 2,55.0 Lac,3 BHK Flat for sale in Electronic City Phase 2,1100 sqft
Haralur Road,45.0 Lac,2 BHK 800 Sq-ft Flat/Apartment for Sale in Haralur Road,1000 sqft
Kaikondrahalli,75.0 Lac,2 BHK Flat for sale in Kaikondrahalli,1262 sqft
Hadosiddapura,75.0 Lac,3 BHK 1411 Sq-ft Flat/Apartment for Sale in Hadosiddapura,1200 sqft
Subramanyapura,68.7 Lac,3 BHK 1278 Sq-ft Flat/Apartment for Sale in Subramanyapura,1100 sqft
Electronic City Phase 2,83.5 Lac,2 BHK Flat for sale in Electronic City Phase 2,1395 sqft
Prithvi layout,60.0 Lac,2 BHK 1230 Sq-ft Flat/Apartment for Sale in Prithvi layout,1100 sqft
Unknown,74.0 Lac,3 BHK Villa,1600 sqft
Kengeri,1.22 Cr,3 BHK Flat for sale in Kengeri,1710 sqft
Kaggadasapura,92.0 Lac,3 BHK 1500 Sq-ft Flat/Apartment for Sale in Kaggadasapura,1200 sqft
Rachenahalli,71.0 Lac,2 BHK Flat for sale in Rachenahalli,873 sqft
kangeri Sattelite Town Stage 2,62.0 Lac,2 BHK Builder Floor,1000 sqft
Sarjapur Road,75.0 Lac,2 BHK Flat for sale in Sarjapur Road,1170 sqft
AECS Layout,68.0 Lac,2 BHK 1205 Sq-ft Flat,910 sqft
Poorna Pragna Layout,90.0 Lac,3 BHK Builder Floor,1875 sqft
Kereguddadahalli,41.0 Lac,2 BHK 1000 Sq-ft Flat/Apartment for Sale in Kereguddadahalli,950 sqft
Bannerghatta,1.90 Cr,2 BHK Villa,1200 sqft
Anand Nagar,2.25 Cr,2 BHK Residential House,1200 sqft
Thanisandra,66.5 Lac,2 BHK Flat for sale in Thanisandra,950 sqft
Jigani,51.0 Lac,Residential Plot,1500 sqft
Kaggalipura,80.0 Lac,Residential Plot,4000 sqft
Defence Colony-Indira nagar,4.0 Cr,3 BHK Flat for sale in Defence Colony-Indira nagar,2045 sqft
Sarjapur Road,1.15 Cr,3 BHK 1560 Sq-ft Flat,1560 sqft
Budigere Cross,55.0 Lac,3 BHK Residential House - 1200 Sq-ft,950 sqft
Banaswadi,59.5 Lac,2 BHK Flat for sale in Banaswadi,1330 sqft
Sarjapur-Attibele Road,48.0 Lac,3 BHK Flat for sale in Sarjapur-Attibele Road,1525 sqft
Sarjapur Road,60.0 Lac,2 BHK Flat for sale in Sarjapur Road,850 sqft
Anekal,47.6 Lac,Residential Plot,2800 sqft
Doddathoguru,70.0 Lac,3 BHK Flat for sale in Doddathoguru,1400 sqft
Sarjapur Road,73.5 Lac,3 BHK Flat for sale in Sarjapur Road,1374 sqft
Jalahalli West,23.0 Lac,1 BHK 426 Sq-ft Flat/Apartment for Sale in Jalahalli West,426 sqft
Electronic City,45.0 Lac,1 BHK Flat for sale in Electronic City,600 sqft
Banaswadi,50.0 Lac,2 BHK Builder Floor,1000 sqft
Bommasandra,1.25 Cr,Residential Plot,2125 sqft
Thanisandra,76.5 Lac,2 BHK 1272 Sq-ft Flat/Apartment for Sale in Thanisandra,1272 sqft
Mallasandra,45.0 Lac,3 BHK 1050 Sq-ft Flat/Apartment for Sale in Mallasandra,1050 sqft
Sarjapur Road,90.0 Lac,Residential Plot,2400 sqft
Chandapura,70.0 Lac,Residential Plot,3000 sqft
Marathahalli-Sarjapur Outer Ring Road,1.50 Cr,3 BHK Flat for sale in Marathahalli-Sarjapur Outer Ring Road,1899 sqft
Jalahalli,90.0 Lac,3 BHK Flat for sale in Jalahalli,1740 sqft
Electronic City,80.0 Lac,3 BHK Flat for sale in Electronic City,1375 sqft
Panathur,77.0 Lac,2 BHK Flat for sale in Panathur,1210 sqft
Hosur Road,13.0 Lac,Residential Plot,150 sqft
Mysore Road,47.0 Lac,Residential Plot,1274 sqft
Sarjapur-Attibele Road,45.0 Lac,3 BHK Flat for sale in Sarjapur-Attibele Road,1380 sqft
Kannamangala,1.15 Cr,3 BHK Flat for sale in Kannamangala,1112 sqft
Yeshwantpur,1.34 Cr,3 BHK Flat for sale in Yeshwantpur,1141 sqft
Chandapura,65.0 Lac,3 BHK Flat for sale in Chandapura,1560 sqft
Whitefield,80.0 Lac,3 BHK Flat for sale in Whitefield,1450 sqft
NelaMangala,37.5 Lac,Residential Plot,1500 sqft
Nandi hills,29.0 Lac,Residential Plot,1500 sqft
Manjunatha Layout-Marathahalli,62.0 Lac,2 BHK Flat for sale in Manjunatha Layout-Marathahalli,1008 sqft
Unknown,34.8 Lac,Residential Plot,1200 sqft
Jakkur,68.5 Lac,2 BHK 1098 Sq-ft Flat for Sale in Jakkur,812 sqft
Rachenahalli,1.50 Cr,3 BHK 3657 Sq-ft Flat/Apartment for Sale in Rachenahalli,3657 sqft
Hebbal Kempapura,1.30 Cr,3 BHK 1681 Sq-ft Flat/Apartment for Sale in Hebbal Kempapura,1400 sqft
Sarjapur Road,1.56 Cr,3 BHK Residential House,1842 sqft
Hosa Road Junction,47.7 Lac,2 BHK 1135 Sq-ft Flat for Sale in Hosa Road Junction,1070 sqft
Thanisandra,1.15 Cr,3 BHK 1920 Sq-ft Flat,1550 sqft
Electronics City Phase 1,85.0 Lac,2 BHK Flat for sale in Electronics City Phase 1,1000 sqft
Mylasandra,65.0 Lac,7 BHK Residential House,2200 sqft
Electronic City Phase 2,55.0 Lac,3 BHK Flat,1200 sqft
Marathahalli Junction,1.15 Cr,3 BHK 1761 Sq-ft Flat/Apartment for Sale in Marathahalli Junction,1441 sqft
Kumaraswamy Layout,1.0 Cr,2 BHK 1200 Sq-ft Flat/Apartment for Sale in Kumaraswamy Layout,1100 sqft
Akshya Nagar,90.0 Lac,3 BHK Flat for sale in Akshayanagar,1550 sqft
Yeshwantpur,1.25 Cr,3 BHK 1322 Sq-ft Flat/Apartment for Sale in Yeshwantpur,1000 sqft
Whitefield,80.0 Lac,2 BHK 1375 Sq-ft Flat/Apartment for Sale in Whitefield,1315 sqft
Kengeri,55.0 Lac,2 BHK Flat for sale in Kengeri,1100 sqft
Yelahanka,85.0 Lac,3 BHK 1620 Sq-ft Flat/Apartment for Sale in Yelahanka,1250 sqft
Immadihalli,75.0 Lac,3 BHK Builder Floor,1400 sqft
Bommanahalli,44.0 Lac,2 BHK 896 Sq-ft Flat/Apartment for Sale in Bommanahalli,896 sqft
Vidyaranyapura,69.0 Lac,2 BHK Builder Floor,1095 sqft
Jakkur Road,2.69 Cr,4 BHK Villa,4000 sqft
Thanisandra Main Road,49.5 Lac,1 BHK Flat for sale in Thanisandra Main Road,765 sqft
Kammasandra,34.7 Lac,2 BHK Builder Floor,500 sqft
Sarjapur Road,1.15 Cr,2 BHK Flat for sale in Sarjapur Road,900 sqft
Vijayanagar,1.25 Cr,3 BHK Builder Floor,1100 sqft
Whitefield,5.50 Cr,4 BHK Villa,3798 sqft
Thanisandra,1.50 Cr,3 BHK Flat for sale in Thanisandra,1996 sqft
Basaveshvara Nagar,1.35 Cr,3 BHK 1473 Sq-ft Flat/Apartment for Sale in Basaveshvara Nagar,1473 sqft
Jaya Nagar Block 1,2.42 Cr,3 BHK Flat for sale in Jaya Nagar Block 1,1815 sqft
Kanakapura Road,1.10 Cr,3 BHK Flat for sale in Kanakapura Road,1300 sqft
Yelahanka,76.0 Lac,2 BHK Flat for sale in Yelahanka,1300 sqft
Bannerghatta Road,70.0 Lac,3 BHK Flat for sale in Bannerghatta Main Road,1366 sqft
Bellandur,1.05 Cr,3 BHK Penthouse,2215 sqft
AECS Layout,3.0 Cr,4 BHK Residential House,2590 sqft
Begur Road,1.10 Cr,3 BHK Flat for sale in Begur Road,1500 sqft
Talagatta Pura,66.0 Lac,3 BHK 1419 Sq-ft Flat/Apartment for Sale in Talagatta Pura,1280 sqft
Unknown,1.20 Cr,9 BHK Residential House,800 sqft
Whitefield,66.0 Lac,2 BHK Flat for sale in Whitefield,850 sqft
Raghavendra Extension,47.4 Lac,2 BHK 1280 Sq-ft Flat for Sale in Raghavendra Extension,1180 sqft
JP Nagar Phase 7,51.0 Lac,2 BHK Builder Floor,1067 sqft
Anekal,4.05 Cr,Residential Plot,18000 sqft
Kadugodi,1.40 Cr,4 BHK 2470 Sq-ft Flat/Apartment for Sale in Kadugodi,2270 sqft
Binnypete,1.22 Cr,2 BHK Flat for sale in Binnypete,920 sqft
Sarjapur,3.11 Cr,4 BHK Villa,2900 sqft
Chandapura,38.0 Lac,2 BHK Flat for sale in Chandapura,800 sqft
Hoodi Circle,1.0 Cr,2 BHK Flat for sale in Hoodi Circle,1430 sqft
Electronic City,42.0 Lac,2 BHK Flat for sale in Electronic City,875 sqft
Jigani,40.0 Lac,2 BHK Flat for sale in Jigani,928 sqft
Old Madras Road,45.0 Lac,3 BHK Flat for sale in Old Madras Road,760 sqft
Kanakapura Road,43.0 Lac,2 BHK Flat for sale in Kanakapura Road,900 sqft
Unknown,1.55 Cr,3 BHK Villa,2484 sqft
Electronics City Phase 1,54.0 Lac,2 BHK 1195 Sq-ft Flat/Apartment for Sale in Electronics City Phase 1,1195 sqft
Whitefield,2.45 Cr,4 BHK Residential House - 3000 Sq-ft,3000 sqft
Vrishabha Nagar,1.25 Cr,1 BHK Residential House,4000 sqft
Sector 2 HSR Layout ,1.50 Cr,3 BHK Flat for sale in HSR Layout Sector 2,1540 sqft
Thanisandra,1.95 Cr,4 BHK Villa,2374 sqft
Kammagondahalli,58.0 Lac,3 BHK Flat for sale in Kammagondahalli,1257 sqft
Bannerghatta Road,62.0 Lac,3 BHK Flat for sale in Bannerghatta Main Road,1440 sqft
Outer Ring Road,3.0 Cr,4 BHK Flat for sale in Outer Ring Road,3596 sqft
Koramangala Block 4,5.52 Cr,4 BHK Flat/Apartment for Sale in Koramangala Block 4,3314 sqft
Hoskote,23.0 Lac,Residential Plot,990 sqft
ISRO Layout,6.33 Cr,3 BHK Residential House,7920 sqft
Hesaraghatta Main Road,46.0 Lac,2 BHK 1218 Sq-ft Flat/Apartment for Sale in Hesaraghatta Main Road,890 sqft
Haralur Road,44.5 Lac,1 BHK Flat for sale in Haralur Road,447 sqft
Jaya Nagar Block 8,3.56 Cr,3 BHK 3100 Sq-ft Flat for Sale in Jaya Nagar Block 8,3000 sqft
K R Puram,69.0 Lac,2 BHK Flat for sale in K R Puram,1190 sqft
Bhoganhalli,77.0 Lac,2 BHK 1256 Sq-ft Flat,804 sqft
Sector 2 HSR Layout ,1.65 Cr,3 BHK 1852 Sq-ft Flat/Apartment for Sale in HSR Layout Sector 2,1500 sqft
Kodichikkanahalli Main Road,45.0 Lac,2 BHK Builder Floor,950 sqft
Krishna reddy layout-Electronic City,65.0 Lac,3 BHK Flat,1200 sqft
Amrutahalli,90.0 Lac,3 BHK Flat for sale in Amrutahalli,1654 sqft
Jivanahalli,1.10 Cr,2 BHK 963 Sq-ft Flat/Apartment for Sale in Jivanahalli,963 sqft
Nayandahalli,97.0 Lac,3 BHK 1568 Sq-ft Flat/Apartment for Sale in Nayandahalli,1568 sqft
jakkur Plantation,96.0 Lac,3 BHK 1720 Sq-ft Flat/Apartment for Sale in jakkur Plantation,1430 sqft
Palm Meadows,1.60 Cr,3 BHK 1720 Sq-ft Flat/Apartment for Sale in Palm Meadows,1550 sqft
Thanisandra,85.0 Lac,2 BHK Flat for sale in Thanisandra,970 sqft
Unknown,34.8 Lac,Residential Plot,1200 sqft
Rajarajeshwari Nagar,60.0 Lac,2 BHK Builder Floor,1060 sqft
Thammenahalli,80.0 Lac,3 BHK Residential House,2100 sqft
ISRO Colony,75.0 Lac,1 BHK 1025 Sq-ft Flat/Apartment for Sale in ISRO Colony,720 sqft
Roopena Agrahara,1.10 Cr,3 BHK Flat for sale in Roopena Agrahara,1899 sqft
Hennur Main Road,1.10 Cr,3 BHK Flat for sale in Hennur Main Road,1636 sqft
AECS Layout,68.0 Lac,3 BHK 1640 Sq-ft Flat/Apartment for Sale in AECS Layout-Singasandra,1340 sqft
Unknown,1.80 Cr,Residential Plot,2400 sqft
Nalagadderanahalli,52.0 Lac,2 BHK 814 Sq-ft Flat/Apartment for Sale in Nalagadderanahalli,578 sqft
Akshya Nagar,1.50 Cr,4 BHK Builder Floor,2424 sqft
Bommasandra Jigani Link Road,45.7 Lac,2 BHK 1173 Sq-ft Flat/Apartment for Sale in Bommasandra Jigani Link Road,1050 sqft
BHEL Layout,65.0 Lac,2 BHK Flat for sale in BHEL Layout,1070 sqft
Unknown,70.0 Lac,2 BHK Flat,950 sqft
Varthur,66.0 Lac,2 BHK Flat for sale in Varthur,1285 sqft
Rajarajeshwari Nagar,67.0 Lac,2 BHK Flat for sale in Rajarajeshwari Nagar,1150 sqft
Chokkanahalli,59.0 Lac,2 BHK Flat for sale in Chokkanahalli,985 sqft
Electronic City,92.0 Lac,3 BHK Flat for sale in Electronic City,1212 sqft
Srirampura,90.0 Lac,2 BHK Flat for sale in Srirampura,1100 sqft
Unknown,66.0 Lac,Residential Plot,3457 sqft
Jakkur,89.0 Lac,3 BHK Flat for sale in Jakkur,1635 sqft
Hosur Road,65.0 Lac,2 BHK Flat for sale in Hosur Road,1030 sqft
Yelahanka,65.0 Lac,2 BHK Flat for sale in Yelahanka,1100 sqft
Panathur,82.0 Lac,2 BHK Flat for sale in Panathur,900 sqft
Marathahalli,72.0 Lac,2 BHK 1000 Sq-ft Flat/Apartment for Sale in Marathahalli,965 sqft
Whitefield,60.0 Lac,2 BHK Builder Floor,978 sqft
ITPL,1.20 Cr,2 BHK 1330 Sq-ft Flat/Apartment for Sale in ITPL,998 sqft
Jalahalli,1.60 Cr,3 BHK Flat for sale in Jalahalli,1675 sqft
Hebbal Kempapura,1.11 Cr,2 BHK 1455 Sq-ft Flat/Apartment for Sale in Hebbal Kempapura,1169 sqft
Bommasandra,85.0 Lac,3 BHK 1550 Sq-ft Flat/Apartment for Sale in Bommasandra,1447 sqft
Chikka Tirupathi,2.98 Cr,5 BHK Villa,4009 sqft
Bannerghatta-Jigani Road,56.5 Lac,Residential Plot,2400 sqft
Kundalahalli,1.10 Cr,3 BHK Flat for sale in Kundalahalli,1375 sqft
Kadugodi,1.19 Cr,3 BHK Flat for sale in Kadugodi,1762 sqft
Devanahalli,77.3 Lac,2 BHK Flat for sale in Devanahalli,1100 sqft
